clicks,impressions,ctr,position
628,775,0.8103225806451613,1.0167741935483872
624,1129,0.5527015057573074,1.1275465013286095
618,1254,0.49282296650717705,1.5893141945773523
603,57602,0.01046838651435714,10.850630186451859
601,46797,0.012842703592110606,8.112443105327266
599,9661,0.06200186316116344,4.947727978470137
596,2862,0.2082459818308875,2.7092941998602376
589,3777,0.15594387079692879,4.084193804606831
586,8792,0.06665150136487716,5.461328480436761
584,4380,0.13333333333333333,2.386986301369863
563,9758,0.057696249231399876,4.615904898544784
559,68407,0.008171678337012295,9.534799070270587
545,30834,0.017675293507167414,8.390705065836414
541,15038,0.03597552866072616,4.970474797180476
529,16578,0.03190975992278924,7.12504524068042
496,9442,0.05253124338063969,6.797288710019064
495,2246,0.22039180765805877,1.1438112199465718
488,24902,0.019596819532567665,7.407075736888603
478,60945,0.00784313725490196,8.210386413979819
475,554,0.8574007220216606,1.0036101083032491
475,4061,0.11696626446688008,5.276286628909135
464,537,0.8640595903165735,1
457,23127,0.019760453149997838,5.879232066415877
456,591,0.7715736040609137,1
452,19738,0.02289998986726112,6.8528726314722865
449,14862,0.03021127708249226,8.281590633831247
444,3310,0.13413897280966766,2.976737160120846
441,3629,0.12152108018737945,4.528795811518325
438,4015,0.10909090909090909,5.300124533001245
432,28788,0.015006252605252188,1.0047589273308324
430,20280,0.021203155818540435,7.395660749506903
429,25056,0.017121647509578543,1.0059466794380587
421,6274,0.06710232706407396,3.520401657634683
420,10747,0.0390806736763748,5.289755280543408
415,2164,0.19177449168207025,1.1529574861367837
414,565,0.7327433628318584,1
412,5541,0.07435480960115502,4.061360765204837
410,722,0.5678670360110804,1.2257617728531855
409,8511,0.04805545764305017,4.362237104923041
405,732,0.5532786885245902,1.151639344262295
402,76717,0.005240038061968012,10.33214281058957
402,10952,0.03670562454346238,5.952063550036523
398,1186,0.33558178752107926,3.361720067453626
397,4883,0.08130247798484538,1.4226909686668032
396,538,0.7360594795539034,1
395,6701,0.058946425906581106,4.391284882853306
391,1314,0.2975646879756469,1.5806697108066972
390,46359,0.008412605966479001,10.144718393407969
389,7417,0.05244708103006607,6.871376567345288
387,1051,0.368220742150333,1.8001902949571837
387,593,0.6526138279932546,1.0033726812816188
387,2241,0.17269076305220885,3.209727800089246
380,16031,0.02370407335786913,5.912606824277962
379,3129,0.12112496005113454,4.781399808245446
377,549,0.6867030965391621,1.0455373406193078
